Month;Month_num;Month_plot;Year;Plot;Microplot;Crop;Yearly_rainfall;Fag;FG;ST;ERO;G;Charcoals;Residues;Wo;Term;Algae;Mosses;CC;WC;CH;WH;Ped%;Pedhx;Pedmean;Slope %;Late;Semi.annual.coeff
August;8;2;2015;OR2I;OR2I2;ORI;967;0;0;3;0;0;0;97;0;0;0;0;55;0.3;7;0.35;0;0;0;49;TRUE;59.178861
August;8;2;2015;OR2I;OR2I3;ORI;967;0;0;1.5;0;0;0;98.5;0;0;0;0;50;4.5;5.5;1.75;0;0;0;36;TRUE;54.515934
August;8;2;2015;OR2S;OR2S1;ORS;967;5;0;33;1;1;0;60;0;2;3;4;92;1;7.5;0.25;36;12;4;61;TRUE;38.037808
August;8;2;2015;OR2S;OR2S2;ORS;967;7;0;63.8;2;0.2;0;27;0.5;1;1;6;78;2;6.5;0.06;57;17;6;57;TRUE;40.547202
August;8;2;2015;OR2S;OR2S3;ORS;967;2;0.2;55;0.5;0;0;42.3;1;1;1;7;71;2;7;0.11;37;14;5;53;TRUE;31.000748
August;8;2;2015;YRM;YRM11;YR;901;6;2;79.5;0.5;5;0;7;0.2;2;0.5;2;5;0.5;0.72;0.08;38;7;2;59;TRUE;13.106824
August;8;2;2015;YRM;YRM12;YR;901;14;5;68.5;0;0.5;0;12;0.6;1;0.2;1;10;0.2;0.68;0.01;20;12;3;62;TRUE;11.249596
August;8;2;2015;YRM;YRM13;YR;901;15;3;77;0;1;0;4;1;3;1;5;17;0.5;0.68;0.085;23;5;4;67;TRUE;7.807121
May;5;1;2016;M2;M21;M;1212;12;1;50;0;1;0;36;0;;1;0.2;0;14;0;0.12;78;12;6;64.5;FALSE;3.478792
May;5;1;2016;M2;M22;M;1212;3;0;46;0;1;0;50;0;;1;0.3;0;18;0;0.255;73;12;6;65.8;FALSE;4.033537
May;5;1;2016;M2;M23;M;1212;7;1;56;0;1;0;35;0;;1;0.5;0;13;0;0.12;80;13;7;67.2;FALSE;7.432801
May;5;1;2016;ORI;OR4I1;ORI;1212;1;1;13;0;0;0;85;1;;0.5;1;50;14;8;0.3525;37;7;3;56.7;FALSE;21.661168
May;5;1;2016;ORI;OR4I2;ORI;1212;1;0;4;0;0;0;95;1;;0;0.5;38;4;10;0.13;20;4;2;55;FALSE;24.466360
May;5;1;2016;ORI;OR4I3;ORI;1212;0.5;0;3.5;0;0;0;96;0;;0;1;48;19;10;0.155;39;6;4;58.6;FALSE;21.619307
May;5;1;2016;ORS;OR4S1;ORS;1212;0.5;0;3.5;0;0;0;96;0.5;;0;0.1;28;13;9;0.27;20;5;3;60.5;FALSE;16.635626
May;5;1;2016;ORS;OR4S2;ORS;1212;4.5;0.5;3;0;0;0;92;0;;0.1;0;38;9;9;0.65;26;5;3;62.3;FALSE;10.884300
May;5;1;2016;ORS;OR4S3;ORS;1212;3;0;1;0;0;0;96;0;;0;0.3;53;19;10;0.3;22;5;4;67;FALSE;17.498475
May;5;1;2016;YR;YRU1;YR;1212;4;1;42;0;1;0;52;0;;0;0;0;28;0;0.235;73;7;4;70.5;FALSE;4.821163
May;5;1;2016;YR;YRU2;YR;1212;3;2;49.5;0;4;0.5;41;0;;0.5;0.2;0;30;0;0.26;75;8;5;66.5;FALSE;4.642414
May;5;1;2016;YR;YRU3;YR;1212;5;1;54;0;1;0;39;0;;0.1;0.2;0;34;0;0.35;69;8;6;63.8;FALSE;5.088231
August;8;2;2016;M2;M21;M;1212;76.5;1;18;0;0.5;1;3;10;;1;0.4;20;1;1.52;0.13;84;14;4;64.5;TRUE;5.075436
August;8;2;2016;M2;M22;M;1212;83;0;14;0;0;0;3;13;;0.2;0.2;20;0;1.46;0;68;10;4;65.8;TRUE;5.819024
August;8;2;2016;M2;M23;M;1212;76;0;20;0;0;0;4;5;;0.8;0.2;17;4;1.35;0.48;76;12;4;67.2;TRUE;7.673222
August;8;2;2016;ORI;OR4I1;ORI;1212;1;1;14.5;0.5;0;0;83;1.5;;0.5;0.2;58;1;8;0.37;33;7;2;56.7;TRUE;47.740651
August;8;2;2016;ORI;OR4I2;ORI;1212;1;0.2;18.3;0;0.5;0;80;0;;0.2;10;1;20;10;0.1;20;4;2;55;TRUE;58.191833
August;8;2;2016;ORI;OR4I3;ORI;1212;0.2;0;17.8;0;0;0;82;1;;0.4;0.8;54;2;10;0.16;41;6;4;58.6;TRUE;51.295712
August;8;2;2016;ORS;OR4S1;ORS;1212;1;0;20.5;0.5;0;0;78;1;;0;0.2;36;1;9;0.21;27;5;3;60.5;TRUE;50.434631
August;8;2;2016;ORS;OR4S2;ORS;1212;1;0;30;0;1;0;68;1.5;;0.5;1;0.8;0;9;0;30;4;2;62.3;TRUE;43.446427
August;8;2;2016;ORS;OR4S3;ORS;1212;0.5;0;20.5;0;0;0;79;0;;0;0.2;57;2;10;0.37;24;7;3;67;TRUE;51.197619
August;8;2;2016;YR;YRU1;YR;1212;12;4;75;1;4;0;4;0;;1;0.5;7;2;0.635;0;75;7;4;70.5;TRUE;7.993292
August;8;2;2016;YR;YRU2;YR;1212;7;6;78.8;1;3;0.2;4;0;;13;2;7;3;0.76;0.085;75;6;3;66.5;TRUE;8.554605
August;8;2;2016;YR;YRU3;YR;1212;10;5;81;0;2;0;2;0;;12;0.4;71;0.4;0.67;0.015;60;7;4;63.8;TRUE;5.810909
Oct;10;3;2016;M2;M21;M;1212;49;2;40;0;1;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;M2;M22;M;1212;50;0;38;0;0;0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;M2;M23;M;1212;55;0;30;0;0;0;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;ORI;OR4I1;ORI;1212;5;2;43;2;0;0;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;ORI;OR4I2;ORI;1212;2;1;41;0;2;0;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;ORI;OR4I3;ORI;1212;2;0;42;0;0;0;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;ORS;OR4S1;ORS;1212;1;0;33;1;0;0;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;ORS;OR4S2;ORS;1212;1;0;47;3;0;0;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;ORS;OR4S3;ORS;1212;1;0;31;0;0;0;68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;YR;YR1;YR;1212;3;4;83;3;4;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;YR;YR2;YR;1212;5;6;79;1;3;0;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
Oct;10;3;2016;YR;YR3;YR;1212;3;4;83;3;3;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NaN
July;7;1;2017;OR2H;OR2H1;OR;1848;6;0;5;0;0;0;89;0.2;;0.1;0;12;24;5.5;28.5;3;4;2;2;FALSE;27.002042
July;7;1;2017;OR2H;OR2H2;OR;1848;5;0;3;0;0;0;92;0.2;;0.2;0.1;46;11;6;33.5;2;7;1;1;FALSE;17.433169
July;7;1;2017;OR2H;OR2H3;OR;1848;3;0;2;0;0;0.2;95;0.1;;0;0.2;29;13;8;24;0.5;2;1;1;FALSE;21.430876
July;7;1;2017;OR2NH;OR2NH1;OR;1848;7;0.1;1;0;0;0;92;1;;0;0.3;10;30;8.5;26.5;2;5;2;2;FALSE;18.296158
July;7;1;2017;OR2NH;OR2NH2;OR;1848;4;0.5;4;0;0.1;0;91;1;;0.1;0.5;48;18;8.5;43;4;4;3;3;FALSE;10.971706
July;7;1;2017;OR2NH;OR2NH3;OR;1848;1;0;1;0;0;0;98;1;;0;0.1;32;8;7.5;16.5;1;3;2;2;FALSE;18.615615
July;7;1;2017;OR4H;ORH1;OR;1707;35;0.3;44;0;0;0;21;2;;3.2;0.1;42;1;9.75;2;43;5;3;2;FALSE;50.123853
July;7;1;2017;OR4H;ORH2;OR;1707;21;3;55;0;2;0;19;0;;0.1;0;19;2;9.25;3;88;6;3;3;FALSE;46.228228
July;7;1;2017;OR4H;ORH3;OR;1707;44;0;34;0;0;0.1;22;1;;0.3;0.1;35;1;7.5;1;75;5;2;3;FALSE;32.378748
July;7;1;2017;OR4NH;OR4NH1;OR;1707;43;2;12;0;0.2;0;43;1.5;;4;0.2;43;2;9.5;16.5;14;4;2;2;FALSE;23.450669
July;7;1;2017;OR4NH;OR4NH2;OR;1707;24;1;62;0;0.1;0;13;3;;4;0.1;26;1;7;1.5;61;5;3;3;FALSE;48.244003
July;7;1;2017;OR4NH;OR4NH3;OR;1707;17;1;44;0;0;1;37;1;;3;0;18;1;9.75;8.5;29;4;2;2;FALSE;35.385302
October;10;2;2017;OR2H;OR2H1;OR;1848;42;0.5;18;0;0;0.1;39;99;;2;0;0.4;10;4;5;53;7;4;3;TRUE;49.151323
October;10;2;2017;OR2H;OR2H2;OR;1848;35;0.2;16;0;0;0.2;49;100;;1.5;0.2;1.2;48;4;6;36;6;8;3;TRUE;49.565450
October;10;2;2017;OR2H;OR2H3;OR;1848;11;0;9;0.4;0;0.3;79;99;;1;0;0.9;24;2;8;24.5;4;3;1;TRUE;49.962225
October;10;2;2017;OR2NH;OR2NH1;OR;1848;54;0.1;7;0;0;0.4;38;99;;1;0;1.1;11;45;8.5;24;4;4;3;TRUE;44.519826
October;10;2;2017;OR2NH;OR2NH2;OR;1848;30;0.1;4;0;0.1;0;66;100;;0.8;0;2;47;32;9;41;3.5;4;2;TRUE;33.997793
October;10;2;2017;OR2NH;OR2NH3;OR;1848;29;0;17;0;0;1;53;100;;2;0;0.9;33;29;7.5;30;11;5;2;TRUE;45.978591
October;10;2;2017;OR4H;OR4H3;OR;1707;45.2;0.8;24;0;0;0;30;54;;3;0.2;0.1;30;4;7.5;13;68;7;2.5;TRUE;62.451759
October;10;2;2017;OR4H;OR4H2;OR;1707;10;3;71;1;7;0;8;100;;1.4;0.2;0.8;40;6;9.25;44;93;8;3;TRUE;61.216914
October;10;2;2017;OR4H;OR4H1;OR;1707;12;0.3;73.5;0;0.2;0;14;26;;3;4;0.3;44;4;9.75;29.5;57;4;2;TRUE;52.137843
October;10;2;2017;OR4NH;OR4NH3;OR;1707;28;0;50.4;0;0.1;0.5;21;49;;2.1;3;2.5;45;10;9.25;20;32;4;2;TRUE;44.452042
October;10;2;2017;OR4NH;OR4NH2;OR;1707;27.4;0.2;62;0;0.4;0;10;72;;4;5;1.2;28;5;7;12;69;4.5;3;TRUE;54.745183
October;10;2;2017;OR4NH;OR4NH1;OR;1707;42.8;0.2;32;0;1;0;24;57;;2.5;0.5;2.3;47;12;9.5;72.5;21;4;1;TRUE;51.151501
June;6;1;2018;OR2H;OR2H1;OR;1985;0.5;0;6.5;0;0;0;93;0.3;;0.1;0.1;20;0.1;7.95;0;4;4;2;;FALSE;12.626353
June;6;1;2018;OR2H;OR2H2;OR;1985;1;0;10;0;0;0;89;1.1;;0.8;0.1;27;0.1;7.95;1;9;8;3;;FALSE;12.677868
June;6;1;2018;OR2H;OR2H3;OR;1985;4;0;6;0;0;0;90;3.7;;0.2;0.2;29;0.1;7.25;1;6;3;1;;FALSE;9.994355
June;6;1;2018;OR2NH;OR2NH1;OR;1985;0.5;0;3.5;0;0;0;96;0.3;;0.2;0.1;19;35;6;40;3;5;3;;FALSE;6.919597
June;6;1;2018;OR2NH;OR2NH2;OR;1985;0.5;0;4.5;0;0;0;95;0.3;;0.1;0.1;49;29;7.05;71;2.5;2;1;;FALSE;7.606680
June;6;1;2018;OR2NH;OR2NH3;OR;1985;0.5;0;19.5;0;0;1;79;0.3;;3.5;0.1;52;28;7.2;36.5;19;4;2;;FALSE;8.599892
June;6;1;2018;OR4H;OR4H1;OR;1874;3;0;38.9;0.1;0;0;58;3;;2;0.2;31;1;7.85;26;37;5;2;;FALSE;35.991588
June;6;1;2018;OR4H;OR4H2;OR;1874;3;0.1;14;0;0;0;83;3;;2;0.5;47;0.3;7.75;19.5;11;5;2;;FALSE;20.415722
June;6;1;2018;OR4H;OR4H3;OR;1874;3;0.2;49.6;0.2;0;0;47;2;;0.2;2;25;0.3;7.75;4;28;7;2;;FALSE;15.690863
June;6;1;2018;OR4NH;OR4NH1;OR;1874;1.5;1;51;0.4;0.1;0;46;1.5;;8.5;0.1;19;0.5;7.75;13;35;6;2;;FALSE;12.856706
June;6;1;2018;OR4NH;OR4NH2;OR;1874;3;0;30;0;0;0;67;3;;9;0.1;24;1;7.75;9;24;5;3;;FALSE;16.730837
June;6;1;2018;OR4NH;OR4NH3;OR;1874;1.5;0;9.5;0;0;0;89;0.8;;0.2;0.2;29;0.9;7.75;8;7;5;2;;FALSE;18.279172
November;11;2;2018;OR2H;OR2H1;OR;1985;4;0.1;49.5;0.2;0.2;0;46;4;;0.2;0.4;80;0.2;11.5;4.75;21;6;3;;TRUE;44.214874
November;11;2;2018;OR2H;OR2H2;OR;1985;4;0.1;50;0.5;0.1;1;44;3.2;;0.4;0.3;31;0.1;8.25;1;43;10;3;;TRUE;49.201447
November;11;2;2018;OR2H;OR2H3;OR;1985;2;0.2;74;0;0.2;0.3;23;2.1;;0.1;0.1;61;11;11;1;13;7;2;;TRUE;51.164155
November;11;2;2018;OR2NH;OR2NH1;OR;1985;12;0.1;16;0;0.1;0;72;2.1;;0;1.5;18;27;8;41;3;3;1;;TRUE;23.022918
November;11;2;2018;OR2NH;OR2NH2;OR;1985;3;0.3;16;0;0;0;81;2.3;;0.2;2.1;63;24;10.5;36;12;4;1;;TRUE;23.572071
November;11;2;2018;OR2NH;OR2NH3;OR;1985;1.5;0;44;0;0;0.3;54;1;;0.1;2;52;21;10;36;14;5;2;;TRUE;31.664525
November;11;2;2018;OR4H;OR4H1;OR;1874;3;0.2;56;0;0.1;0;41;2.3;;0.6;1;44;1;9;8.5;23;6;3;;TRUE;59.916011
November;11;2;2018;OR4H;OR4H2;OR;1874;2;3;59;0.1;2;0;34;1;;0.5;0.2;47;0.3;11;2.5;28;6;4;;TRUE;62.566106
November;11;2;2018;OR4H;OR4H3;OR;1874;1;0;70;0;0.1;0;29;1.2;;1;7;38;0.4;9.5;4;41;8;3;;TRUE;43.861171
November;11;2;2018;OR4NH;OR4NH1;OR;1874;3.1;0.1;48;0;0.6;0;48;2.5;;1;3;19;9;9.75;38.5;27;6;4;;TRUE;42.116609
November;11;2;2018;OR4NH;OR4NH2;OR;1874;0.2;0.1;42;0;0.1;0;58;0.3;;0.4;2.6;22;18;8.75;39;6;5;3;;TRUE;53.564578
November;11;2;2018;OR4NH;OR4NH3;OR;1874;1;0.1;30;0;0.2;0;69;0.6;;2;0.4;26;19;11;49;4;5;3;;TRUE;39.207909
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
